id	name
589	ST MARYS CHURCH
590	TOP FLOOR
591	FLAT 103
592	FARMHOUSE
593	FLAT 81
594	THE NOOK
595	FLAT 2-2
596	PLOT 60
597	10C
598	PUBLIC OPEN SPACE
599	GROUND FLOOR SHOP
600	WAREHOUSE
601	GARAGE 19
602	PLAYING FIELD
603	BOTTOM FLAT
604	CORNER COTTAGE
605	GROUND FLOOR RIGHT
606	UNIT 26
607	APARTMENT 17
608	THE FORGE
609	FLAT 77
610	GROUND FLOOR FLAT A
611	STREET FURNITURE
612	FLAT 82
613	4-5
614	ROOM 10
615	GROUND FLOOR LEFT
616	11C
617	8-10
618	PLOT 61
619	UNITS 1 AND 2
620	96A
621	HIGHFIELD
622	GARAGE 20
623	43B
624	99A
625	FLAT 104
626	FLAT 78
627	CHURCH COTTAGE
628	PLOT 62
629	98A
630	FLAT 83
631	MILL COTTAGE
632	APARTMENT 18
633	PLOT 63
634	PLOT 64
635	97A
636	FLAT 84
637	44B
638	14-16
639	UNIT 27
640	ALLOTMENT GARDENS
641	PLOT 66
642	BUS SHELTER
643	FLAT 1B
644	PRIMROSE COTTAGE
645	OAKLANDS
646	12C
647	CHAPEL HOUSE
648	PLOT 65
649	PART FIRST FLOOR
650	3D
651	CHURCH FARM
652	SUITE 4
653	FLAT 79
654	THE PADDOCK
655	FLAT 80
656	FLAT 105
657	UNIT 5A
658	42B
659	100A
660	APARTMENT 19
661	FIRST AND SECOND FLOOR
662	UNIT F
663	12-14
664	PLOT 67
665	FOOTWAY
666	FLAT 85
667	PART GROUND FLOOR
668	BRIDGE HOUSE
669	103A
670	1E
671	CHURCH VIEW
672	101A
673	PLOT 69
674	UNIT 28
675	MANOR HOUSE
676	45B
677	PLOT 68
678	46B
679	BROOKSIDE
680	102A
681	GARAGE 21
682	HILL VIEW
683	SITE AT
684	WHITE HOUSE
685	FLAT 86
686	PAVILION
687	FLAT 3A
688	MAISONETTE FIRST AND SECOND FLOORS
689	FLAT GROUND-1
690	4D
691	FLAT 106
692	PLOT 70
693	PUMP
694	CHURCH HALL
695	105A
696	PLOT 71
697	PLOT 72
698	104A
699	47B
700	OAK COTTAGE
701	17-19
702	APARTMENT 20
703	LAND REAR OF
704	18-20
705	GREYSTONES
706	15-17
707	UNIT 3B
708	WHITE COTTAGE
709	THE OLD FORGE
710	SEWAGE TREATMENT WORKS
711	LAND ON THE SOUTH EAST SIDE OF
712	LAND ON THE NORTH WEST SIDE OF
713	TELEPHONE BOX
714	49B
715	COMMUNICATION STATION
716	PLOT 73
717	14C
718	ROOM 11
719	THE OLD DAIRY
720	GARAGE 22
721	FIRST FLOOR FRONT FLAT
722	GARDENERS COTTAGE
723	15C
724	FIRST FLOOR FLAT B
725	ACCOMMODATION
726	LAND ON THE NORTH EAST SIDE OF
727	7-8
728	PLOT 74
729	BROOK HOUSE
730	OFFICE 3
731	PLOT 75
732	107A
733	HILL HOUSE
734	109A
735	APARTMENT 21
736	FIRST FLOOR REAR FLAT
737	48B
738	CARTREF
739	FIRST FLOOR OFFICES
740	PEAR TREE COTTAGE
741	51B
742	PLOT 76
743	CARAVAN 2
744	STAFF ACCOMMODATION
745	50B
746	LAND ON THE SOUTH WEST SIDE OF
747	106A
748	2E
749	LILAC COTTAGE
750	THE OLD COACH HOUSE
751	TELECOMMUNICATION MAST
752	FLAT 12A
753	FLAT 91
754	FLAT 3RD FLOOR
755	THE ELMS
756	FIRST FLOOR OFFICE
757	FLAT J
758	PLOT 77
759	BROOK COTTAGE
760	HILLVIEW
761	PLOT 78
762	19-21
763	JASMINE COTTAGE
764	13-15
765	55B
766	FLAT 92
767	FLAT B FIRST FLOOR
768	CEMETERY
769	FLAT GROUND-2
770	SPRING COTTAGE
771	6-7
772	APARTMENT 22
773	110A
774	UNIT 29
775	GARAGE 23
776	52B
777	21-23
778	FLAT 93
779	FLAT A BASEMENT
780	FLAT 87
781	UNIT 6A
782	53B
783	5D
784	CARAVAN 1
785	111A
786	PLOT 81
787	16-18
788	PLOT 79
789	HONEYSUCKLE COTTAGE
790	PLOT 80
791	11-13
792	SOUTH LODGE
793	16C
794	115A
795	FLAT 94
796	SUB STATION
797	UNIT 30
798	PARK HOUSE
799	GARAGE 24
800	THE SPINNEY
801	FLAT 88
802	MANOR COTTAGE
803	56B
804	NORTH LODGE
805	BEECH HOUSE
806	ANNEX
807	TANGLEWOOD
808	APARTMENT 23
809	ROOM 12
810	108A
811	FLAT 107
812	6D
813	PLOT 82
814	PARK VIEW
815	54B
816	GROUND FLOOR FRONT FLAT
817	APRIL COTTAGE
818	SUITE 5
819	FLAT 111
820	CHERRY TREE COTTAGE
821	17C
822	22-24
823	FLAT 108
824	PLOT 83
825	19C
826	FLAT 95
827	THE PADDOCKS
828	112A
829	APARTMENT 13
830	THE CHALET
831	ALL SAINTS CHURCH
832	9-10
833	APARTMENT 24
834	GREENWAYS
835	WEST LODGE
836	FLAT 112
837	FLAT A GROUND FLOOR
838	LITTLE ORCHARD
839	PLOT 84
840	UNIT G
841	THE RETREAT
842	MOUNT PLEASANT
843	CHAPEL COTTAGE
844	117A
845	FLAT 89
846	MAYFIELD
847	PLOT 85
848	THE POPLARS
849	116A
850	RECYCLING POINT
851	18C
852	113A
853	GARAGE 25
854	THE BOTHY
855	57B
856	7D
857	TREETOPS
858	FLAT 96
859	114A
860	FLAT 90
861	PLOT 86
862	BARN COTTAGE
863	UNIT 31
864	FIELD HOUSE
865	120A
866	3F
867	GROUND FLOOR AND FIRST FLOOR
868	119A
869	UNIT 4B
870	58B
871	HOUSE
872	121A
873	PLOT 87
874	118A
875	THE MANSE
876	123A
877	8D
878	HOLLY HOUSE
879	OFFICE 4
880	OAKDENE
881	OAK HOUSE
882	127A
883	20-22
884	59B
885	13C
886	PLOT 88
887	21C
888	UNIT 7A
889	25-27
